Average Delta Code Per Readout,Baseline Accuracy,Optical Accuracy,Difference Distribution Std Dev,Timecode
-161.65732142857166,0.988,0.11,3.729579209046213,2021-12-07_011848
79.34292142857096,0.988,0.5,3.2803999409061304,2021-12-07_015141
1949.2331142857136,0.988,0.98,14.120635309701381,2021-12-07_024020
1359.0750571428562,0.988,0.96,3.898278008623776,2021-12-07_031824
83.27261428571553,0.988,0.67,3.1592764243579476,2021-12-07_035121
84.04591428571479,0.988,0.37,3.6939426195035745,2021-12-07_044542
-3.910364285713197,0.988,0.37,3.7807688422255543,2021-12-07_051913
-43.432214285713705,0.988,0.14,3.2213403894198143,2021-12-07_055225
705.0031142857151,0.988,0.96,4.082279262104949,2021-12-07_064614
1545.7113000000027,0.988,0.99,3.2916575216566066,2021-12-07_071930
506.7998642857168,0.988,0.93,3.043439544238856,2021-12-07_075229
192.6577428571432,0.988,0.33,5.145323618347767,2021-12-07_085138
197.31974285714242,0.988,0.75,3.5992101729290953,2021-12-07_092520
65.37252857142911,0.988,0.12,3.420236194495328,2021-12-07_095812
2597.6224285714293,0.988,0.99,3.3788969730328375,2021-12-07_104645
1111.1204214285729,0.988,0.97,3.4571134441310547,2021-12-07_112036
1199.8853571428563,0.988,0.98,3.2237270451610405,2021-12-07_115355
-528.4704357142856,0.988,0.11,3.1600328433872553,2021-12-07_122658
635.411078571431,0.988,0.68,5.996749993714417,2021-12-07_130523
650.4602785714264,0.988,0.81,3.740962596168236,2021-12-07_133841
387.89107142857034,0.988,0.71,3.380121302063524,2021-12-07_141141
-7.8217000000009165,0.988,0.4,3.2346093805560576,2021-12-07_144446
89.00779285714165,0.988,0.57,3.2588062646554925,2021-12-07_151739
250.1130071428559,0.988,0.26,4.237377989840109,2021-12-07_155048
37.788242857144354,0.988,0.27,3.952442395664696,2021-12-07_163936
1861.4950642857152,0.988,0.97,3.222142691996151,2021-12-07_171311
-624.1619999999981,0.988,0.11,3.151870150804317,2021-12-07_174618
729.680471428571,0.988,0.27,3.814986907273779,2021-12-07_181935
1174.710635714287,0.988,0.98,3.138940903928778,2021-12-07_185234
418.9122785714266,0.988,0.97,5.226211681915275,2021-12-07_192535
454.67428571428377,0.988,0.88,3.2046771812877264,2021-12-07_195835
-50.60132142857288,0.988,0.18,3.242421012338329,2021-12-07_203144
220.19735000000014,0.988,0.16,5.1237940110930476,2021-12-07_210440
533.8583071428571,0.988,0.88,3.5847413407345434,2021-12-07_213745
-36.484342857143886,0.988,0.12,3.4221275414027623,2021-12-07_221105
1806.9269714285706,0.988,1.0,3.4511532528691644,2021-12-07_231015
1317.1462499999998,0.988,0.97,3.338122190442419,2021-12-07_234326
202.21529285714385,0.988,0.5,3.0664933930197242,2021-12-08_001634
689.5650428571433,0.988,0.8,4.156749517796268,2021-12-08_004939
589.7457142857127,0.988,1.0,3.3464739197401565,2021-12-08_012324
-136.64959285714346,0.988,0.11,3.1001952507131136,2021-12-08_015627
490.7414214285707,0.988,0.36,6.350167441840232,2021-12-08_024018
262.5504499999999,0.988,0.77,4.123554121314055,2021-12-08_031321
57.65653571428468,0.988,0.29,3.1219762608636348,2021-12-08_034616
625.3535999999999,0.988,0.54,2.9769788570296862,2021-12-08_043953
2052.527778571428,0.988,0.99,3.4667806137241755,2021-12-08_051243
985.8493928571447,0.988,0.97,3.0863972205791357,2021-12-08_054550
1088.6488785714293,0.988,0.38,6.361407286776477,2021-12-08_061845
918.940164285715,0.988,0.94,4.026350464185163,2021-12-08_065201
368.2241785714285,0.988,0.92,3.1813921176787274,2021-12-08_072511
107.54506428571418,0.988,0.14,3.115839786841692,2021-12-08_075829
133.55329285714234,0.988,0.16,4.801630691422528,2021-12-08_083645
138.35084285714223,0.988,0.63,3.3671873004458575,2021-12-08_091027
4.956392857142151,0.988,0.12,3.2241951895423515,2021-12-08_094341
1006.3425571428569,0.988,0.84,3.79178711803806,2021-12-08_103714
1032.6810857142877,0.988,0.98,3.5314841813128814,2021-12-08_111538
53.35722142857049,0.988,0.29,3.004595558971738,2021-12-08_114827
716.0088500000006,0.988,0.8,4.812198641250117,2021-12-08_122641
585.2916785714307,0.988,0.86,3.0936857002556155,2021-12-08_125942
225.1112142857147,0.988,0.74,3.2612438532274313,2021-12-08_133817
-418.0892500000015,0.988,0.11,3.0714944451429163,2021-12-20_103350
71.35173571428759,0.988,0.91,4.626831520109097,2021-12-20_110637
255.37889999999962,0.988,0.61,5.883223361664183,2021-12-20_114433
83.47483571428585,0.988,0.78,3.304608876222002,2021-12-20_121749
-58.23947857142549,0.988,0.28,3.6055427416309365,2021-12-20_125024
387.5207642857152,0.988,0.0,3.9843027701013782,2021-12-20_134926
147.46092857142858,0.988,0.94,3.2932213725698056,2021-12-20_150408
-147.36891428571332,0.988,0.28,3.3605617337802296,2021-12-20_153701
469.4646999999998,0.988,0.91,5.328052024908022,2021-12-20_162705
173.55016428571525,0.988,0.51,3.1508633787846403,2021-12-20_165956
-329.6221642857153,0.988,0.11,3.1367931469166757,2021-12-20_173234
104.66108571428593,0.988,0.24,5.057042676278667,2021-12-20_182112
193.86232142857364,0.988,0.21,3.930483225375429,2021-12-20_185409
-300.59596428571524,0.988,0.11,4.906049010433623,2021-12-20_192650
588.4767714285698,0.988,0.98,3.475617026152972,2021-12-20_203046
174.05972857142856,0.988,0.94,3.1789255283549354,2021-12-20_210342
-184.97927857142756,0.988,0.11,3.320175602826001,2021-12-20_213642
132.95519285714383,0.988,0.69,4.04683116535746,2021-12-20_220945
384.31809999999984,0.988,0.92,3.431025189119994,2021-12-20_224312
-355.42277142857216,0.988,0.11,2.941757509519681,2021-12-20_231616
419.7361142857142,0.988,0.77,3.845405333296405,2021-12-20_235434
272.68629285714496,0.988,0.7,3.365422177333722,2021-12-21_002737
-284.63579999999934,0.988,0.11,3.167105304186896,2021-12-21_010104
206.3534071428567,0.988,0.98,3.869180224031178,2021-12-21_022551
-139.41772142857133,0.988,0.11,3.0857439756033487,2021-12-21_025907
600.3133071428582,0.988,0.96,3.8192089208995763,2021-12-21_033208
219.42055714285672,0.988,0.94,3.2414392765137405,2021-12-21_040520
-355.36332857142736,0.988,0.11,2.988945734018146,2021-12-21_043827
109.34687142856937,0.988,0.4,3.878512133181524,2021-12-21_052713
226.96710000000024,0.988,0.57,3.2676188763204648,2021-12-21_060028
-246.7043071428558,0.988,0.11,3.0289680210281142,2021-12-21_063326
316.05254285714244,0.988,0.86,3.6624046960855368,2021-12-21_075904
-472.10392857142824,0.988,0.11,3.6594221646555933,2021-12-21_083220
337.6144428571431,0.988,0.65,3.780863209419444,2021-12-21_094211
93.26297142857118,0.988,0.42,3.444811138094315,2021-12-21_101528
21.726900000000445,0.988,0.48,3.4383018059319834,2021-12-21_104835
-78.53729285714266,0.988,0.11,4.0381037621180695,2021-12-21_115828
2293.545121428571,0.988,0.95,5.659794232114868,2021-12-21_123154
38.27322857143059,0.988,0.96,3.132633665204806,2021-12-21_130505
224.50883571428548,0.988,0.98,3.2188878129110616,2021-12-21_133806
99.94212857142965,0.988,0.98,3.3472362185779962,2021-12-21_141113
51.447742857142615,0.988,0.86,3.3111310918605956,2021-12-21_144430
62.558771428570445,0.988,0.78,3.256062578087887,2021-12-21_151758
18.07120714285597,0.988,0.8,3.3082550780100832,2021-12-21_155116
59.18123571428641,0.988,0.58,3.362681656698515,2021-12-21_162309
51.63694285714096,0.988,0.44,3.253966978606248,2021-12-21_165641
-122.7010785714284,0.988,0.11,3.572154083674687,2021-12-21_173007
343.67534285714237,0.988,0.98,3.299129947286073,2021-12-21_185007
418.10915714285596,0.988,0.97,3.3217605087408733,2021-12-21_192334
251.7058714285723,0.988,0.98,3.2874590358399867,2021-12-21_195740
128.9123071428577,0.988,0.92,3.2462604815496587,2021-12-21_203043
152.92065714285698,0.988,0.9,3.230724724873426,2021-12-21_210405
56.27323571428598,0.988,0.83,3.343119782409385,2021-12-21_213705
31.47707857142789,0.988,0.5,3.3287618471719878,2021-12-21_221014
84.85657142857075,0.988,0.7,3.3582102803170293,2021-12-21_224318
45.78025714285761,0.988,0.54,3.269391195438254,2021-12-21_231615
56.93427857142778,0.988,0.45,3.3015473653283705,2021-12-21_234926
